nimi,reg_kood,aadress,omavalitsus,maakond,telefon,direktor_telefon,email,direktor_email,veebileht,lat,lon,allikas,markus
Kuressaare pargi lasteaed,,,,,,,,,https://kuressaarepargilasteaed.weebly.com/,58.2515067,22.4804689,OpenStreetMap,
Kurtna kooli lasteaed,,,,,,,,,,59.2312023,24.719768,OpenStreetMap,
Kuusalu Lasteaed Jussike,,,,,,,,,https://www.lasteaedjussike.ee,59.4431713,25.4258516,OpenStreetMap,
Käina Lasteaed Tirtspõnni,,,,,,,,,,58.8300215,22.7820697,OpenStreetMap,
Kärla lasteaed,,,,,,,,,https://karlalasteaed.ee/,58.3289321,22.2592065,OpenStreetMap,
Kõmsi lasteaed-algkool,,,,,,,,,,58.6253686,23.6343844,OpenStreetMap,
Kõpu lasteaed,,,,,,,,,,58.3273944,25.3014492,OpenStreetMap,
LIhula lasteaed,,,,,,,,,https://lasteaed.laaneranna.ee,58.6904095,23.8383123,OpenStreetMap,
Laagri Lasteaed,,"Männimetsa tee, 53",,,,,,,http://www.laagrilasteaed.ee/,59.3532086,24.6098854,OpenStreetMap,
Laeva põhikooli lasteaed,,,,,,,,,,58.4874937,26.386091,OpenStreetMap,
Lagedi lasteaed,,,,,,,,,,59.4023727,24.9454056,OpenStreetMap,
Laiuse Jaan Poska Põhikooli lasteaed,,,,,,,,,,58.7827116,26.4986978,OpenStreetMap,
Lasteaed,,,,,,,,,,58.2530783,26.7821234,OpenStreetMap,
Lasteaed Aiake,,,,,,,,,,59.4413037,24.7499467,OpenStreetMap,
Lasteaed Aviv,,,,,,,,,,59.4358425,24.7289924,OpenStreetMap,
Lasteaed Kalevipoeg,,,,,,,,,,59.3486172,27.4159428,OpenStreetMap,
Lasteaed Loomelind,,,,,,,,,,58.3717981,26.7799887,OpenStreetMap,
Lasteaed LõunaTerake,,,,,,,,,,58.3574572,26.6730778,OpenStreetMap,
Lasteaed Muumioru,,,,,,,,,,57.9702044,27.0002825,OpenStreetMap,
Lasteaed Nõmmekannike Ilmarise maja,,"Ilmarise, 17",,,,,,,https://www.tallinn.ee/et/nommekannike,59.36938,24.6730619,OpenStreetMap,
Lasteaed Pillerkaar,,,,,,,,,,59.3482967,27.4217962,OpenStreetMap,
Lasteaed Rõõm,,,,,,,,,,59.4777927,25.0203373,OpenStreetMap,
Lasteaed Sipsik,,"Narva mnt, 21",,,,,,,,59.4756815,25.0229821,OpenStreetMap,
Lasteaed TäheTerake,,,,,,,,,,58.3732228,26.7268377,OpenStreetMap,
Lasteaed Tõruke,,,,,,,,,,59.3542372,24.9032735,OpenStreetMap,
Lasteaed VURR,11473581,,,,,,,,http://lasteaed.reaalkool.ee/,59.4322211,24.7467244,OpenStreetMap + teatmik.haridus.ee,teatmik_id=178
Lasteaed Vigri,,,,,,,,,,58.981297,22.4638647,OpenStreetMap,
Lasteaed Väike Päike - Peetri Lastehoid,,,,,,,,,,59.3888828,24.8041262,OpenStreetMap,
Lasteaed Väike Päike - Peetri Õuelastehoid,,,,,,,,,,59.3887394,24.8045417,OpenStreetMap,
Lasteaed Väike Päike - Viimsi lasteaed,,,,,,,,,,59.4996123,24.8567984,OpenStreetMap,
Lasteaed Väike Päike - Viimsi Õuelastehoid,,,,,,,,,,59.4993087,24.8663367,OpenStreetMap,
Lastehoid,,,,,,,,,,58.3736997,26.6906476,OpenStreetMap,
Lastehoid Läte,,,,,,,,,,59.3030352,24.4158442,OpenStreetMap,
Lastehoid kaheksajalg,,,,,+3725029965,,,,,58.3740444,26.716507,OpenStreetMap,
Laulasmaa Kooli Lehola Lasteaed,,,,,,,,,,59.2923953,24.3226741,OpenStreetMap,
Laulasmaa kooli Laulasmaa lasteaed,,,,,,,,,,59.376661,24.2417588,OpenStreetMap,
Lehtse kooli lasteaed,,,,,,,,,,59.2499315,25.8252381,OpenStreetMap,
Liisu lastehoid,,"Pille, 7/1",,,,,,,,59.4225221,24.7488284,OpenStreetMap,
Linnamäe lasteaed,,"Kooli tee, 10",,,+3724795425,,,,,58.9942046,23.7183295,OpenStreetMap,
Loo Lasteaed Pääsupesa,,,,,,,,,,59.4322785,24.9455601,OpenStreetMap,
Lusti Lasteaed,,,,,,,,,,57.8266463,26.5078095,OpenStreetMap,
Lähte lasteaed Kiisupere,,,,,,,,,https://www.lahtelasteaed.edu.ee,58.495851,26.6778098,OpenStreetMap,
Lõpe kooli lasteaed,,,,,,,,,,58.5719784,23.9898518,OpenStreetMap,
Lümanda Karu-Kati Lasteaed,,,,,,,,,,58.2868426,22.0211209,OpenStreetMap,
Ma Ray Lasteaed,,,,,,,,,,59.4385955,24.8466256,OpenStreetMap,
Maidla Kooli Erra lasteaed,,,,,,,,,,59.3704384,26.9908081,OpenStreetMap,
Maidla Kooli Sonda lasteaed,,,,,,,,,,59.3508925,26.8380862,OpenStreetMap,
Maidla Kooli lasteaed,,,,,,,,,,59.3361821,27.0121366,OpenStreetMap,
Martna Lasteaed,,,,,,,,,,58.8565599,23.8032281,OpenStreetMap,
Meelespea Waldorflasteaed,80321994,,,,,,,,https://www.waldorflasteaed.ee/,59.4331427,24.795067,OpenStreetMap + teatmik.haridus.ee,teatmik_id=181
Meie Mängurühm,,,,,,,,,http://meiemanguruhm.weebly.com/,58.3586299,26.7299827,OpenStreetMap,
Melliste Kooli lasteaed,,,,,,,,,,58.3317071,26.9817287,OpenStreetMap,
Meremäe Kooli lasteaed,,,,,,,,,,57.7483087,27.4584475,OpenStreetMap,
Midrimaailm,,"Pargi, 16",,,,,,,https://midri.ee/,59.3733966,24.6747953,OpenStreetMap,
Minilasteaed Lõvimeri,10935482,,,,,,,,http://lovimeri.eu,59.4418625,24.5758062,OpenStreetMap + teatmik.haridus.ee,teatmik_id=207
Mooste Lasteaed Tammetõru,,,,,,,,,,58.1586858,27.1902705,OpenStreetMap,
Muhu Lasteaed,,,,,,,,,,58.6020166,23.2287834,OpenStreetMap,
Mustjala Lasteaed-Põhikool,,,,,,,,,,58.463144,22.2327326,OpenStreetMap,
Mustvee Lasteaed (Mustvee maja),,,,,,,,,,58.8497337,26.9478269,OpenStreetMap,
Mustvee Lasteaed (Tiheda maja),,,,,,,,,https://www.mustvee.edu.ee/teated,58.795354,26.9599918,OpenStreetMap,
"Muuga-Laekvere Kooli lasteaed ""Rüblik""",,,,,,,,,,59.0661135,26.5603258,OpenStreetMap,
Mäetaguse Lasteaed Tõruke,,,,,,,,,https://www.lasteaed-toruke.ee,59.2234859,27.298327,OpenStreetMap,
Märjamaa Lasteaed Pillerpall,,,,,,,lasteaed.pillerpall@marjamaa.ee,,https://xn--mrjamaalasteaedpillerpall-lec.ee/,58.9005828,24.4323748,OpenStreetMap,
Mõisaküla Lasteaed,,,,,,,,,,58.092458,25.1801003,OpenStreetMap,
Mõmmipesa Lastehoid,,,,,+37254575521,,,,http://mõmmipesa.eu/,59.4212702,24.7493304,OpenStreetMap,
Mõniste Kooli Lasteaed,,,,,,,,,,57.5941523,26.5553755,OpenStreetMap,
Narva Lasteaed Kaseke,,,,,,,,,,59.3762262,28.1836604,OpenStreetMap,
Narva Lasteaed Sipsik,,"26. Juuli, 13a",,,,,,,http://sipsik.narvakultuur.ee/,59.3672345,28.1784148,OpenStreetMap,
Narva-Jõesuu Lasteaed Karikakar,,,,,,,,,,59.4562899,28.046293,OpenStreetMap,
Neeme Lasteaed,,,,,,,,,,59.5288852,25.1637081,OpenStreetMap,
Nõgiaru Lasteaed,,,,,,,,,,58.3114164,26.5450354,OpenStreetMap,
Nõlvaku Lasteaed,,"Kaselaane tn, 1",,,+37253079131,,,,,59.3522277,24.6362734,OpenStreetMap,
Olustvere Lasteaed Piilu,,,,,,,,,,58.5575496,25.5617222,OpenStreetMap,
"Orissaare lasteaed ""Päikesekiir""",,,,,,,,,,58.5576486,23.0851548,OpenStreetMap,
"Oru lasteaed ""Mesimumm""",,,,,,,,,,59.1909569,24.9906412,OpenStreetMap,
Otepää Lasteaed - Pähklikese maja,,,,,,,,,,58.0552005,26.4934431,OpenStreetMap,
Otepää Lasteaed - Võrukaela maja,,,,,,,,,,58.0622247,26.5021139,OpenStreetMap,
Padise Lasteaed,,,,,,,,,,59.2240145,24.1451611,OpenStreetMap,
Paide Lasteaed,,,,,,,,,,58.8807085,25.5444676,OpenStreetMap,
Palade Lasteaed,,,,,,,,,,58.9574691,22.8339692,OpenStreetMap,
"Palamuse Lasteaed ""Nukitsamees""",,,,,,,,,http://palamuselasteaed.weebly.com/,58.6822379,26.577158,OpenStreetMap,
"Palamuse Lasteaed ""Nukitsamees"" - Kaarepere rühm",,,,,,,,,,58.6615104,26.5101857,OpenStreetMap,
Palivere lasteaed Piibeleht,,,,,+3724724206,,,,https://www.laanenigula.ee/palivere-lasteaed,58.9655849,23.8926721,OpenStreetMap,
Pangapealse lasteaed,,,,,,,,,https://www.pangapealselasteaed.ee/avaleht,59.4574059,24.4573752,OpenStreetMap,
Parksepa Lasteaed,,,,,,,,,,57.9077224,26.9832332,OpenStreetMap,
Peetri Lasteaed,,,,,,,,,,59.3955381,24.8101134,OpenStreetMap,
Peetri kooli lasteaed,,,,,,,,,,58.9434172,25.8310889,OpenStreetMap,
Pihtla kooli lasteaed,,,,,,,,,,58.3039974,22.7309584,OpenStreetMap,
Pikavere mõisakooli lasteaed,,,,,,,,,,59.2777088,25.1359298,OpenStreetMap,
Puhja lasteaed Pääsusilm,,,,,,,,,https://puhja.lasteaed.elva.ee/,58.3345784,26.3117563,OpenStreetMap,
Puiatu lasteaed,,,,,,,,,,58.3597136,25.4312005,OpenStreetMap,
Puiga Lasteaed Siilike,,,,,,,,,,57.7981647,27.03118,OpenStreetMap,
Puurmani Lasteaed Siilipesa,,,,,,,,,,58.5756571,26.2826456,OpenStreetMap,
Päri lasteaed,,,,,,,,,,58.3391819,25.4970382,OpenStreetMap,
Pärnu-Jaagupi Lasteaed Pesamuna - Libatse maja,,,,,,,,,,58.658623,24.4828883,OpenStreetMap,
Pärnu-Jaagupi Lasteaed Pesamuna - Pärnu-Jaagupi maja,,,,,,,,,,58.604534,24.5056066,OpenStreetMap,
Pärnu-Jaagupi Lasteaed Pesamuna - Vahenurme maja,,,,,,,,,,58.620789,24.3893191,OpenStreetMap,
Pärsti lasteaed,,,,,,,,,,58.4218451,25.5332408,OpenStreetMap,
Põlgaste Lasteaed Sinilill,,,,,,,,,https://kanepi.kovtp.ee/polgaste-lasteaed,57.9799985,26.8746494,OpenStreetMap,
Põltsamaa Valla Lasteaed - Adavere,,,,,,,,,,58.7085117,25.8991085,OpenStreetMap,
Põltsamaa Valla Lasteaed - Aidu,,,,,,,,,,58.7314374,26.2135623,OpenStreetMap,
Põltsamaa Valla Lasteaed - Esku,,,,,,,,,,58.6417031,25.8912763,OpenStreetMap,
Põltsamaa Valla Lasteaed - Lustivere,,,,,,,,,,58.6615395,26.0913714,OpenStreetMap,
Põltsamaa Valla Lasteaed - Pisisaare,,,,,,,,,,58.7232747,25.9616132,OpenStreetMap,
Põltsamaa lasteaed,,,,,,,,,https://www.poltsamaalasteaed.edu.ee,58.6605574,25.9796608,OpenStreetMap,
"Põlva Lasteaed ""Lepatriinu""",,,,,,,,,,58.0507753,27.0506394,OpenStreetMap,
"Põlva Lasteaed ""Mesimumm""",,,,,,,,,,58.0595927,27.0718662,OpenStreetMap,
Põlva Roosi kooli lasteaed,,,,,,,,,,58.0595322,27.0724081,OpenStreetMap,
Põnnipesa Lasteaed,,,,,,,,,,59.5098461,24.8250359,OpenStreetMap,
Pühajärve Põhikooli lasteaed,,,,,,,,,,58.0126062,26.4368471,OpenStreetMap,
Püssi Marjakese Lasteaed,,,,,,,,,https://www.marjakese.ee,59.3611734,27.0351475,OpenStreetMap,
Raasiku lasteaed,,,,,,,,,,59.3684427,25.1841061,OpenStreetMap,
Rahvusvaheline Lasteaed,10878962,,,,,,,,https://www.kindergarten.ee,59.4248727,24.7298195,OpenStreetMap + teatmik.haridus.ee,teatmik_id=187
"Rakke Lasteaed ""Leevike""",,,,,,,,,http://lasteaed.rakke.ee/,58.9932407,26.2331676,OpenStreetMap,
Rakvere Kungla Lasteaed,,,,,,,,,,59.3427425,26.3671572,OpenStreetMap,
Rakvere Rohuaia lasteaed,,,,,,,,,https://www.rla.edu.ee/,59.3522236,26.3652688,OpenStreetMap,
Rakvere Triinu Lasteaed,,,,,,,,,,59.3438951,26.3704519,OpenStreetMap,
Randvere maja (Viimsi lasteaiad),,,,,,,,,https://www.viimsilasteaiad.ee/8-lasteaiamaja/randvere-maja,59.5062011,24.9069457,OpenStreetMap,
Rannu Lasteaed,,,,,,,,,https://rannu.lasteaed.elva.ee/,58.2376336,26.219771,OpenStreetMap,
Rapla Lasteaed Päkapikk,,,,,,,,,,58.9968782,24.7951033,OpenStreetMap,
Retla-Kabala Kooli Kabala lasteaed,,,,,,,,,,58.6918748,25.6296414,OpenStreetMap,
Retla-Kabala Kooli Oisu lasteaed,,,,,,,,,,58.7574232,25.5658164,OpenStreetMap,
Riidaja Põhikooli lasteaed,,,,,,,,,,58.0906905,25.8916955,OpenStreetMap,
Riisipere lasteaed,,,,,,,,,,59.1031542,24.3136097,OpenStreetMap,
Risti Kooli lasteaed,,,,,,,,,,59.2275564,24.0140215,OpenStreetMap,
Risti lasteaed,,,,,,,,,,58.9982617,24.0601592,OpenStreetMap,
Ristiku Lasteaed,,,,,,,,,https://ristikulasteaed.saaremaavald.ee/,58.2608701,22.4923764,OpenStreetMap,
Ritsu lasteaed-algkool,,,,,,,,,https://ritsu.edu.ee/,58.0335915,25.8463789,OpenStreetMap,
Rocca al Mare Kooli Lasteaed Veskimöldres,,,,,,,,,,59.3541363,24.6065013,OpenStreetMap,
Roela kooli lasteaed,,,,,,,,,,59.1702629,26.5930304,OpenStreetMap,
Rukilill Maardu Lasteaed,,,,,,,,,https://maardurukkilill.ee/,59.488174,25.0213897,OpenStreetMap,
Rukkilille Lasteaed,,,,,,,,,,59.31053,24.4008393,OpenStreetMap,
"Rummu Lasteaed “Lepatriinu""",,,,,,,,,,59.2318201,24.1958556,OpenStreetMap,
Räpina Lasteaed Vikerkaar,,,,,,,,,,58.0934382,27.4692469,OpenStreetMap,
Rõngu Lasteaed Pihlakobar - Aakre lasteaiarühmad,,,,,,,,,,58.0978615,26.2027109,OpenStreetMap,
Rõngu Lasteaed Pihlakobar - Hellenurme lasteaiarühmad,,,,,,,,,,58.1351804,26.3839959,OpenStreetMap,
Rõngu lasteaed Pihlakobar,,,,,,,,,https://www.rongulasteaed.edu.ee/,58.1455026,26.2438171,OpenStreetMap,
Rõuge lasteaed,,,,,,,,,,57.7290122,26.9070634,OpenStreetMap,
Sadala kooli lasteaed,,,,,,,,,,58.8624423,26.5994088,OpenStreetMap,
Sajajalgne Kesklinna lasteaed,,,,,,,,,,59.4280022,24.7302862,OpenStreetMap,
Sajajalgne Pelgulinna lasteaed,,,,,,,,,,59.4391943,24.7173155,OpenStreetMap,
Saku Lasteaed Päikesekild,,,,,+3726728722,,,,,59.2959916,24.6570265,OpenStreetMap,
Saku Lasteaed Terake - Mudila,,,,,,,,,,59.2992596,24.6619702,OpenStreetMap,
Saku Lasteaed Terake - Pargimaja,,,,,,,,,,59.2980638,24.6642916,OpenStreetMap,
Saku Lasteaed Terake - Peamaja,,,,,,,,,https://www.sakuterake.ee/,59.3028513,24.6706533,OpenStreetMap,
